S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
2193,16238,Kotlu (463),कोटलू (463),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00940600,016238,N,,,,
2194,16274,Kotlu (566),कोटलू (566),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00944200,016274,N,,,,
2195,16187,Kotlu Gad (530),कोटलू गाड़ (530),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00935500,016187,N,,,,
2196,14474,Ktindi (608),कटिण्ढी (608),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00764200,014474,N,,,,
2197,16247,Kubshan (459),कुबशन (459),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00941500,016247,N,,,,
2198,13283,Kudnu (271),कुडनु (271),Makridi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00645100,013283,N,,,,
2199,14040,Kufri (340),कुफरी  (340),Bhadrota(Sub-District) / Mandi(District) / Himachal Pradesh(State),00719100,014040,N,,,,
2200,13115,Kufri (549),कुफरी (549),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00628300,013115,N,,,,
2201,15838,Kufri Dhar (397),कुफरीधार (397),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00900600,015838,N,,,,
2202,16259,Kufridhar (497),कुफरीधार (497),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00942700,016259,N,,,,
2203,13392,Kufru (346),कुफरु (346),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00656000,013392,N,,,,
2204,13291,Kufru Mor Chaka (269),कुफरू मोर चका (269),Makridi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00645900,013291,N,,,,
2205,15930,Kuftu (190),कुफठू (190),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00909800,015930,N,,,,
2206,13887,Kukain (300),कुकैण (300),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00705500,013887,N,,,,
2207,14918,Kuklaah (547),कुकलाह (547),Bali Chowki(Sub-District) / Mandi(District) / Himachal Pradesh(State),00808600,014918,N,,,,
2208,13034,Kuljhan (424),कुलझाण (424),Tikken(Sub-District) / Mandi(District) / Himachal Pradesh(State),00620200,013034,N,,,,
2209,15055,Kulthani (530),कुलथणी (530),Bagachnogi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00822300,015055,N,,,,
2210,13723,Kulwahan(127),कुलवाहण (127),Mandap(Sub-District) / Mandi(District) / Himachal Pradesh(State),00689100,013723,N,,,,
2211,13138,Kumaharda (573),कुम्हारडा (573),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00630600,013138,N,,,,
2212,15623,Kumaru (272),कुमारू (272),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00879100,015623,N,,,,
2213,13722,Kumharada(118),कुमाहरड़ा (118),Mandap(Sub-District) / Mandi(District) / Himachal Pradesh(State),00689000,013722,N,,,,
2214,14730,Kummi (230),कुम्मी (230),Balh(Sub-District) / Mandi(District) / Himachal Pradesh(State),00789800,014730,N,,,,
2215,13745,Kun (4),कून (4),Kotli(Sub-District) / Mandi(District) / Himachal Pradesh(State),00691300,013745,N,,,,
2216,14908,Kun (554),कुण (554),Bali Chowki(Sub-District) / Mandi(District) / Himachal Pradesh(State),00807600,014908,N,,,,
2217,14259,Kun (64),कून (64),Dehar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00742700,014259,N,,,,
2218,13514,Kunaihan (179),कुन्हैण (179),Lad Bharol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00668200,013514,N,,,,
2219,14263,Kunaila (53),कुनैला (53),Dehar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00743100,014263,N,,,,
2220,16022,Kund (264),कुण्ड (264),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00919000,016022,N,,,,
