S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
537,22721,Kila Kalanch (388),किला कलांच (388),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01578900,022721,N,,,,
538,23381,Killor (50),किलौड़ (50),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01644400,023381,N,,,,
539,23462,Kinu Kulah (172),किणू-कुलाह (172),Ronhat(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01652500,023462,N,,,,
540,23308,Kiratpur Bhagwanpur (140),कीरतपुर भगवानपुर (140),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01637600,023308,N,,,,
541,23341,Kishan Kot (91),किशनकोट (91),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01640400,023341,N,,,,
542,23320,Kishan Pura (128),किशनपुरा (128),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01638600,023320,N,,,,
543,23435,Kiyana (212),क्याना (212),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01649800,023435,N,,,,
544,23379,Klatha (48),कलाथा (48),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01644200,023379,N,,,,
545,22889,Kochharwa Kadakan (177),कुछड़वा कदाकन (177),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01595700,022889,N,,,,
546,23279,Kodewala (163),कोदेवाला (163),Majra(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01634700,023279,N,,,,
547,23278,Kolar (162),कोलर (162),Majra(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01634600,023278,N,,,,
548,22996,Kolwa (100),कोलवा (100),Renuka(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01606400,022996,N,,,,
549,23397,Korga (9),कोड़़गा (9),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01646000,023397,N,,,,
550,23434,Kota (211),कोटा (211),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01649700,023434,N,,,,
551,23053,Kot Banlog (44),कोट बनलोग (44),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01612200,023053,N,,,,
552,22901,Kot Dadol (185),कोट डडोल (185),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01596900,022901,N,,,,
553,22953,Kot Dhabur (205),कोट दभूड़ (205),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01602100,022953,N,,,,
554,23410,Kotga Kandon (28),कोटगा काण्डो (28),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01647300,023410,N,,,,
555,22598,Kothia Jajar (128),कोठिया जाजर (128),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01566600,022598,N,,,,
556,22805,Kothi Deb (386),कोठी देब (386),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01587300,022805,N,,,,
557,23469,Koti (179),कोटी (179),Ronhat(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01653200,023469,N,,,,
558,23017,Kotiaon (196),कोटियों (196),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01608500,023017,N,,,,
559,22782,Koti Charawag (313),कोटी चरवाग (313),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01585000,022782,N,,,,
560,23018,Koti Dhaman (209),कोटी धमान (209),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01608600,023018,N,,,,
561,22603,Koti Mawga (119),कोटी मावगा (119),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01567100,022603,N,,,,
562,22509,Koti Padhog (8),कोटी पधोग (8),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01557700,022509,N,,,,
563,23439,Koti Uttrou (221),कोटी उतरोऊ (221),Shillai(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01650200,023439,N,,,,
564,23165,Kotla (133),कोटला (133),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01623300,023165,N,,,,
565,22531,Kotla Bangi (35),कोटला बांगी (35),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01559900,022531,N,,,,
566,22834,Kotla Barog (339),कोटला बरोग (339),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01590200,022834,N,,,,
567,22623,Kotla Mangan (141),कोटला मांगन (141),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01569100,022623,N,,,,
568,23069,Kotla Molar (58),कोटला मोलर (58),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01613800,023069,N,,,,
569,22694,Kotla Panjola (356),कोटला पंजोला (356),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01576200,022694,N,,,,
