S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
378,12811,Sajuni,सजूणी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601400,012811,N,,,,
379,12931,Sajwar (10/29),सजवाड़ (10/29),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00609900,012931,N,,,,
380,12780,Salingcha,सलींगचा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600700,012780,N,,,,
381,12824,Sanser.,सेंसर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012824,N,eSignGOFile662648_20_02_2025_14_18_01.pdf,,,
382,937585,Sarahan,सराहन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
383,12960,Sarahan (15/41),सराहन (15/41),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00612800,012960,N,,,,
384,12966,Sargha (17/47),सरघा (17/47),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613400,012966,N,,,,
385,12852,Sari (26/51),सारी (26/51),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602000,012852,N,,,,
386,12736,Sarsai,सरसेई,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600000,012736,N,,,,
387,937658,Satrim,सतरीम,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
388,12918,Sehuli (5/16),सेहुली (5/16),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00608600,012918,N,,,,
389,937618,Seobagh,सेऊबाग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
390,12928,Seraj (8/26),सराज (8/26),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00609600,012928,N,,,,
391,937663,Seri Dhar,सेरी धार,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
392,937679,Seugi,सेउगी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
393,12833,Shahar Gran,शाहढ ग्रां,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601600,012833,N,,,,
394,12688,Shaleen (21/28),शलीन (21/28),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598600,012688,N,,,,
395,12896,Shamshi (35/85),शमशी (35/85),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00604300,012896,N,,,,
396,12665,Shanag,शनाग,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598200,012665,N,,,,
397,12697,Shangchar,शांगचर,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598700,012697,N,,,,
398,937648,Shanghan,शांघन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
399,12909,Shanghar (3/9),शांघड़  (3/9),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00607700,012909,N,,,,
400,937641,Shangti,शाँगटी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
401,12911,Shapneel (4/11),शपनील (4/11),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00607900,012911,N,,,,
402,12832,Sharan Gran,शरन ग्रां,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601600,012832,N,,,,
403,949445,Sharan Ser.,शरन सेर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_11_43_27.pdf,,,
404,12936,Sharchi (12/34),शरची (12/34),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00610400,012936,N,,,,
405,12839,Sharni,शारनी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012839,N,,,,
406,12887,Shat (38/98),शाट (38/98),Jari(Sub-District) / Kullu(District) / Himachal Pradesh(State),00605600,012887,N,,,,
407,12704,Shegli (22/31),शेगली (22/31),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599000,012704,N,,,,
408,12781,Sheldi,शेलडी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012781,N,,,,
